Country	Type	Mountain	Latitude	Longitude	Elevation
Aruba	Mountain	Jamanota	12.4899966	-69.9399918	188 m
American Samoa	Volcano	Lata Mountain	-14.2338564	-169.455235	951 m
American Samoa	Mountain	Mount Tumutumu	-14.1762207	-169.6617327	486 m
American Samoa	Volcano	Matafao Peak	-14.2948762	-170.7035548	642 m
American Samoa	Mountain	Mount 'Alava	-14.264748	-170.6870791	491 m
American Samoa	Mountain	Piumafua Mountain	-14.1716585	-169.6205818	629 m
Honduras	Volcano	Las Minas Peak	14.539319	-88.691108	2849 m
Honduras	Mountain	Isla Zacate Grande	13.3135929	-87.6258208	640 m
Haiti	Mountain	De la Selle Peak	18.3599918	-71.9800309	2680 m
Croatia	Mountain	Risnjak	45.3648356	14.2663913	1528 m
Croatia	Mountain	Učka	45.2849385	14.2019518	1396 m
Croatia	Mountain	Dinara	44.0624949	16.3829451	1831 m
Croatia	Mountain	Svilaja	43.7906435	16.4849638	1508 m
Croatia	Mountain	Vidova gora	43.2796627	16.6203579	780 m
Croatia	Mountain	Srđ	42.6493826	18.1113651	403 m
Hong Kong SAR	Mountain	Castle Peak	22.383	113.95	583 m
Hong Kong SAR	Mountain	Mount Tai Mo	22.4118111	114.1231444	957 m
Hong Kong SAR	Mountain	Grassy Hill	22.4125	114.165	646 m
Hong Kong SAR	Mountain	Wong Leng	22.48778	114.20917	639 m
Hong Kong SAR	Mountain	The Hunch Backs	22.415	114.24806	677 m
Hong Kong SAR	Mountain	Ma On Shan	22.40889	114.25167	702 m
Hong Kong SAR	Mountain	Buffalo Hill	22.3727778	114.23333	606 m
Hong Kong SAR	Mountain	Kowloon Hill	22.34139	114.22333	603 m
Hong Kong SAR	Mountain	Nei Lak Shan	22.263174	113.911099	751 m
Hong Kong SAR	Mountain	Mount Fung Wong	22.2497694	113.9213028	934 m
Hong Kong SAR	Mountain	Yi Tung Shan	22.25944	113.96667	747 m
Hong Kong SAR	Mountain	Lin Fa Shan	22.2736972	113.9716639	766 m
Hong Kong SAR	Mountain	Sunset Peak	22.25722	113.95278	869 m
